Sample Number,Article Number,Year & Month,Journal,DOI,Matrix name,Monomer,Functional group,Initiator,Matrix modification method,Matrix relative dielectric constant (1Hz),Matrix relative dielectric constant (10Hz),Matrix relative dielectric constant (100Hz),Matrix relative dielectric constant (1kHz),Matrix relative dielectric constant (10kHz),Matrix relative dielectric constant (10^5Hz),Matrix relative dielectric constant (1MHz),Matrix dielectric loss (1Hz),Matrix dielectric loss (10Hz),Matrix dielectric loss (100Hz),Matrix dielectric loss (1kHz),Matrix dielectric loss (10kHz),Matrix dielectric loss (10^5Hz),Matrix dielectric loss (1MHz),Matrix breakdown electric field/kV·mm-1,Matrix conductivity (1Hz)/S·m-1,Matrix conductivity (10Hz)/S·m-1,Matrix conductivity (100Hz)/S·m-1,Matrix conductivity (1kHz)/S·m-1,Matrix conductivity (10kHz)/S·m-1,Matrix conductivity (10^5Hz)/S·m-1,Matrix conductivity (1MHz)/S·m-1,Matrix elastic modulus/MPa,Particle material category,Particle conductivity category,Particle component,Particle main elements,Particle morphology,Particle size/nm,Particle arrangement,Filling ratio (wt),Filling ratio (vol),Particle synthesis method,Particle modification method,Particle relative dielectric constant (1Hz),Particle relative dielectric constant (10Hz),Particle relative dielectric constant (100Hz),Particle relative dielectric constant (1kHz),Particle relative dielectric constant (10kHz),Particle relative dielectric constant (10^5Hz),Particle relative dielectric constant (1MHz),Particle dielectric loss (1Hz),Particle dielectric loss (10Hz),Particle dielectric loss (100Hz),Particle dielectric loss (1kHz),Particle dielectric loss (10kHz),Particle dielectric loss (10^5Hz),Particle dielectric loss (1MHz),Particle conductivity (1Hz)/S·m-1,Particle conductivity (10Hz)/S·m-1,Particle conductivity (100Hz)/S·m-1,Particle conductivity (1kHz)/S·m-1,Particle conductivity (10kHz)/S·m-1,Particle conductivity (10^5Hz)/S·m-1,Particle conductivity (1MHz)/S·m-1,Preparation of composite,Composite thickness/mm,Composite relative dielectric constant (1Hz),Composite relative dielectric constant (10Hz),Composite relative dielectric constant (100Hz),Composite relative dielectric constant (1kHz),Composite relative dielectric constant (10kHz),Composite relative dielectric constant (10^5Hz),Composite relative dielectric constant (1MHz),Composite elastic modulus/MPa,Composite dielectric loss (1Hz),Composite dielectric loss (10Hz),Composite dielectric loss (100Hz),Composite dielectric loss (1kHz),Composite dielectric loss (10kHz),Composite dielectric loss (10^5Hz),Composite dielectric loss (1MHz),Composite conductivity (1Hz)/S·m-1,Composite conductivity (10Hz)/S·m-1,Composite conductivity (100Hz)/S·m-1,Composite conductivity (1kHz)/S·m-1,Composite conductivity (10kHz)/S·m-1,Composite conductivity (10^5Hz)/S·m-1,Composite conductivity (1MHz)/S·m-1,Maximum strain,Breakdown voltage/kV,Breakdown electric field/kV·mm-1,Pre-stretching ratio,Prestress/N,Applied electric field/kV·mm,Frequency/Hz,Actuation displacement/mm,Actuating force/N,Actuating strain,Stress/MPa,Area strain,Response time/ms,Recovery time/ms,Response speed/Hz,Maximum bandwidth/Hz,Electromechanical sensitivity/MPa-1,Elastic energy density/MPa-1,Power density/W·kg-1,Energy density/J·kg-1,Energy efficiency/%,Cyclic voltage/Kv,Cyclic electric field/kV·mm-1,Cyclic strain,Cycle life,Time constant/ms,Single type particles or not,2nd particle material category,2nd particle conductivity category,2nd particle component,2nd particle main elements,2nd particle morphology,2nd particle size,2nd particle arrangement,2nd filling ratio (wt),2nd filling ratio (vol),2nd particle synthesis method,2nd particle modification method,2nd particle relative dielectric constant (1Hz),2nd particle relative dielectric constant (10Hz),2nd particle relative dielectric constant (100Hz),2nd particle relative dielectric constant (1kHz),2nd particle relative dielectric constant (10kHz),2nd particle relative dielectric constant (10^5Hz),2nd particle relative dielectric constant (1MHz),2nd particle dielectric loss (1Hz),2nd particle dielectric loss (10Hz),2nd particle dielectric loss (100Hz),2nd particle dielectric loss (1kHz),2nd particle dielectric loss (10kHz),2nd particle dielectric loss (10^5Hz),2nd particle dielectric loss (1MHz),2nd particle conductivity (1Hz),2nd particle conductivity (10Hz),2nd particle conductivity (100Hz),2nd particle conductivity (1kHz),2nd particle conductivity (10kHz),2nd particle conductivity (10^5Hz),2nd particle conductivity (1MHz),3rd particle material category,3rd particle conductivity category,3rd particle component,3rd particle main elements,3rd particle morphology,3rd particle size,3rd particle arrangement,3rd doping ratio (wt),3rd doping ratio (vol),3rd particle synthesis method,3rd particle modification method,3rd particle relative dielectric constant (1Hz),3rd particle relative dielectric constant (10Hz),3rd particle relative dielectric constant (100Hz),3rd particle relative dielectric constant (1kHz),3rd particle relative dielectric constant (10kHz),3rd particle relative dielectric constant (10^5Hz),3rd particle relative dielectric constant (1MHz),3rd particle dielectric loss (1Hz),3rd particle dielectric loss (10Hz),3rd particle dielectric loss (100Hz),3rd particle dielectric loss (1kHz),3rd particle dielectric loss (10kHz),3rd particle dielectric loss (10^5Hz),3rd particle dielectric loss (1MHz),3rd particle conductivity (1Hz),3rd particle conductivity (10Hz),3rd particle conductivity (100Hz),3rd particle conductivity (1kHz),3rd particle conductivity (10kHz),3rd particle conductivity (10^5Hz),3rd particle conductivity (1MHz)
11,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV28 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,Polymer,Conductor,PANI,C/H/N,Hollow Capsules,380,Isotropic,,0.317,Miniemulsion Polymerization,PDVB encapsulated,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,,,7.6,6.5,4.8,3.7,,11.751,,,0.1,0.17,0.2,0.18,,,,6.15E-09,0.00000005,0.0000006,0.000003,,2.504,,64.1,,,57,,,,0.012,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,201010,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201000486,PDMS (Neukasil RTV28 by Altropol),,,,,,,2.25,2.5,2.6,2.6,,,,0.1,0.015,0.001,0.001,,66.1,,,0.000000001,0.000000002,1.80E-09,0.000000016,,0.578,Polymer,Conductor,PANI,C/H/N,Hollow Capsules,380,Isotropic,,0.317,Miniemulsion Polymerization,PDVB encapsulated,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,,,7.6,6.5,4.8,3.7,,11.751,,,0.1,0.17,0.2,0.18,,,,6.15E-09,0.00000005,0.0000006,0.000003,,2.504,,64.1,,,50,,,,0.0085,0.208,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,201301,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c2ta01026g,PDMS,,,,,,,,3.2（5kHz）,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,50,Isotropic,,0.079,,,,,,,,,127.5,,,,,,,,,,,,,,,"Physical Mixing, Heating and compression",,,,,9.6（5kHz）,9.5（50kHz）,9.4（500kHz）,,0.82,,,,,,,,,,,,,,,,,,,,30,,,,,,0.04,,,,,6,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,201301,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c2ta01026g,PDMS,,,,+DMSO（40Phr）,,,,3.2（5kHz）,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,50,Isotropic,,0.063,,,,,,,,,127.5,,,,,,,,,,,,,,,"Physical Mixing, Heating and compression",,,,,7.9（5kHz）,7.9（50kHz）,7.9（500kHz）,,0.51,,,,,,,,,,,,,,,,,,,,30,,,,,,0.043,,,,,8.8,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,201301,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c2ta01026g,PDMS,,,,+DMSO（40Phr）,,,,3.2（5kHz）,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,50,Isotropic,,0.053,,,,,,,,,127.5,,,,,,,,,,,,,,,"Physical Mixing, Heating and compression",,,,,7.6（5kHz）,7.5（50kHz）,7.4（500kHz）,,0.33,,,,,,,,,,,,,,,,,,,,30,,,,,,0.056,,,,,13,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,201301,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c2ta01026g,PDMS,,,,+DMSO（60Phr）,,,,3.2（5kHz）,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,50,Isotropic,,0.045,,,,,,,,,127.5,,,,,,,,,,,,,,,"Physical Mixing, Heating and compression",,,,,6（5kHz）,6（50kHz）,5.75（500kHz）,,0.24,,,,,,,,,,,,,,,,,,,,30,,,,,,0.068,,,,,17,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,201301,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c2ta01026g,PDMS,,,,+DMSO（80Phr）,,,,3.2（5kHz）,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,50,Isotropic,,0.041,,,,,,,,,127.5,,,,,,,,,,,,,,,"Physical Mixing, Heating and compression",,,,,5.5（5kHz）,5.45（50kHz）,5.4（500kHz）,,0.18,,,,,,,,,,,,,,,,,,,,30,,,,,,0.093,,,,,22,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,201301,JOURNAL OF MATERIALS CHEMISTRY A,10.1039/c2ta01026g,PDMS,,,,+DMSO（100Phr）,,,,3.2（5kHz）,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,50,Isotropic,,0.036,,,,,,,,,127.5,,,,,,,,,,,,,,,"Physical Mixing, Heating and compression",,,,,4.6（5kHz）,4.3（50kHz）,4（500kHz）,,0.1,,,,,,,,,,,,,,,,,,,,30,,,,,,0.129, ,,,,39.9,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,201303,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.38044,"PDMS（107 silicone rubber, provided by GE Toshiba）",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere,100,Isotropic,0.23,,Guo Teng Ceramic Co. ,,,,,,,,12000,,,,,,,,,,,,,,,"Physical Mixing, compression",0.1,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ceramic Materials,Conductor,CB,C,Sphere,50,Isotropic,0,,Beijing Calcium Carbide Manufactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,201303,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.38044,"PDMS（107 silicone rubber, provided by GE Toshiba）",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere,100,Isotropic,0.23,,Guo Teng Ceramic Co. ,,,,,,,,12000,,,,,,,,,,,,,,,"Physical Mixing, compression",0.1,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ceramic Materials,Conductor,CB,C,Sphere,50,Isotropic,0.01,,Beijing Calcium Carbide Manufactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,201303,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.38044,"PDMS（107 silicone rubber, provided by GE Toshiba）",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere,100,Isotropic,0.23,,Guo Teng Ceramic Co. ,,,,,,,,12000,,,,,,,,,,,,,,,"Physical Mixing, compression",0.1,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ceramic Materials,Conductor,CB,C,Sphere,50,Isotropic,0.02,,Beijing Calcium Carbide Manufactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,201303,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.38044,"PDMS（107 silicone rubber, provided by GE Toshiba）",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere,100,Isotropic,0.23,,Guo Teng Ceramic Co. ,,,,,,,,12000,,,,,,,,,,,,,,,"Physical Mixing, compression",0.1,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ceramic Materials,Conductor,CB,C,Sphere,50,Isotropic,0.03,,Beijing Calcium Carbide Manufactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,201303,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.38044,"PDMS（107 silicone rubber, provided by GE Toshiba）",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Dielectric Material,BaTiO3,Ba/Ti/O,Sphere,100,Isotropic,0.23,,Guo Teng Ceramic Co. ,,,,,,,,12000,,,,,,,,,,,,,,,"Physical Mixing, compression",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ceramic Materials,Conductor,CB,C,Sphere,50,Isotropic,0.04,,Beijing Calcium Carbide Manufactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
